Time,Price,Quantity,IsMarketMaker,NumTrades,M
2025-03-16 00:00:03.393274304 +0530 IST,613.59000000,0.24800000,false,1,true
2025-03-16 00:00:03.393290324 +0530 IST,613.60000000,0.81500000,false,1,true
2025-03-16 00:00:05.827271535 +0530 IST,613.63000000,3.89200000,false,1,true
2025-03-16 00:00:05.829252714 +0530 IST,613.64000000,0.01000000,false,1,true
2025-03-16 00:00:05.860242253 +0530 IST,613.70000000,2.29900000,false,3,true
2025-03-16 00:00:06.272453013 +0530 IST,613.63000000,0.09400000,true,1,true
2025-03-16 00:00:06.495174238 +0530 IST,613.73000000,0.02500000,false,1,true
2025-03-16 00:00:06.499175622 +0530 IST,613.75000000,0.00900000,false,1,true
2025-03-16 00:00:06.504271883 +0530 IST,613.67000000,0.09400000,true,1,true
2025-03-16 00:00:06.513384787 +0530 IST,613.68000000,0.01000000,true,1,true
2025-03-16 00:00:06.523653225 +0530 IST,613.68000000,0.09400000,true,1,true
2025-03-16 00:00:06.533435704 +0530 IST,613.68000000,0.09400000,true,1,true
2025-03-16 00:00:06.543855685 +0530 IST,613.68000000,0.09400000,true,2,true
2025-03-16 00:00:06.553371455 +0530 IST,613.69000000,0.09400000,true,1,true
2025-03-16 00:00:06.563965403 +0530 IST,613.69000000,0.09400000,true,1,true
2025-03-16 00:00:06.573430228 +0530 IST,613.66000000,0.09400000,true,1,true
2025-03-16 00:00:08.472445341 +0530 IST,613.57000000,0.10000000,true,1,true
2025-03-16 00:00:08.973192361 +0530 IST,613.67000000,0.13100000,false,1,true
2025-03-16 00:00:09.678174879 +0530 IST,613.69000000,0.24800000,false,1,true
2025-03-16 00:00:09.711214146 +0530 IST,613.74000000,0.24800000,false,1,true
2025-03-16 00:00:09.945284754 +0530 IST,613.76000000,0.05900000,false,2,true
2025-03-16 00:00:09.959234427 +0530 IST,613.80000000,1.63000000,false,2,true
2025-03-16 00:00:13.42725763 +0530 IST,613.82000000,0.06500000,false,1,true
2025-03-16 00:00:14.08018393 +0530 IST,613.72000000,0.09400000,true,1,true
2025-03-16 00:00:15.3301978 +0530 IST,613.89000000,3.51400000,false,3,true
2025-03-16 00:00:17.170359199 +0530 IST,613.82000000,0.09400000,true,1,true
2025-03-16 00:00:17.197296674 +0530 IST,613.82000000,0.09400000,true,1,true
2025-03-16 00:00:17.339200401 +0530 IST,613.79000000,0.09400000,true,1,true
2025-03-16 00:00:17.411172395 +0530 IST,613.79000000,0.09400000,true,1,true
2025-03-16 00:00:17.596261749 +0530 IST,613.90000000,0.01000000,false,1,true
2025-03-16 00:00:19.738318439 +0530 IST,613.86000000,0.24800000,true,1,true
2025-03-16 00:00:20.484245304 +0530 IST,613.96000000,1.86600000,false,1,true
2025-03-16 00:00:20.484262178 +0530 IST,613.97000000,0.01100000,false,1,true
2025-03-16 00:00:20.513144522 +0530 IST,613.97000000,0.04500000,true,1,true
2025-03-16 00:00:20.51819676 +0530 IST,613.97000000,0.20300000,true,1,true
2025-03-16 00:00:20.798476491 +0530 IST,613.91000000,0.09400000,true,1,true
2025-03-16 00:00:21.033346966 +0530 IST,613.91000000,0.09400000,true,1,true
2025-03-16 00:00:21.426273042 +0530 IST,613.93000000,0.24800000,true,1,true
2025-03-16 00:00:21.459195097 +0530 IST,613.93000000,0.24800000,true,1,true
2025-03-16 00:00:21.900280649 +0530 IST,613.91000000,1.53100000,true,2,true
2025-03-16 00:00:21.908166445 +0530 IST,613.90000000,0.11900000,true,1,true
2025-03-16 00:00:22.305216651 +0530 IST,613.88000000,0.09400000,true,1,true
2025-03-16 00:00:22.650262604 +0530 IST,613.99000000,0.56400000,false,2,true
2025-03-16 00:00:22.650285751 +0530 IST,614.00000000,6.92500000,false,8,true
2025-03-16 00:00:22.6536095 +0530 IST,614.02000000,0.65200000,false,1,true
2025-03-16 00:00:22.719274969 +0530 IST,613.94000000,0.04500000,true,1,true
2025-03-16 00:00:22.737384715 +0530 IST,613.94000000,0.71700000,true,2,true
2025-03-16 00:00:22.817502217 +0530 IST,613.90000000,0.81400000,true,1,true
2025-03-16 00:00:22.824252229 +0530 IST,613.89000000,0.20000000,true,1,true
2025-03-16 00:00:22.825314285 +0530 IST,613.86000000,0.01300000,true,1,true
2025-03-16 00:00:25.712367044 +0530 IST,613.98000000,1.33700000,false,1,true
2025-03-16 00:00:27.143242332 +0530 IST,614.00000000,1.06200000,false,2,true
2025-03-16 00:00:27.96947579 +0530 IST,614.03000000,2.00000000,false,1,true
2025-03-16 00:00:27.969488817 +0530 IST,614.07000000,2.36200000,false,2,true
2025-03-16 00:00:27.997395213 +0530 IST,613.98000000,0.09400000,true,1,true
2025-03-16 00:00:29.359473979 +0530 IST,614.00000000,0.01700000,true,1,true
2025-03-16 00:00:30.429369623 +0530 IST,614.02000000,0.01700000,true,1,true
2025-03-16 00:00:30.434257952 +0530 IST,614.02000000,0.01700000,true,1,true
2025-03-16 00:00:30.533441239 +0530 IST,614.02000000,0.04500000,true,1,true
2025-03-16 00:00:30.724294957 +0530 IST,614.02000000,0.02500000,true,1,true
2025-03-16 00:00:30.728558753 +0530 IST,614.02000000,0.01700000,true,1,true
2025-03-16 00:00:30.733558971 +0530 IST,614.02000000,0.01700000,true,1,true
2025-03-16 00:00:31.803498186 +0530 IST,614.02000000,0.01300000,true,1,true
2025-03-16 00:00:31.803513001 +0530 IST,614.01000000,0.08100000,true,1,true
2025-03-16 00:00:31.830368494 +0530 IST,614.01000000,0.04500000,true,1,true
2025-03-16 00:00:31.837371164 +0530 IST,614.01000000,0.07400000,true,1,true
2025-03-16 00:00:31.842201965 +0530 IST,613.99000000,0.20000000,true,1,true
2025-03-16 00:00:31.845164477 +0530 IST,613.97000000,0.07700000,true,1,true
2025-03-16 00:00:33.208561168 +0530 IST,614.06000000,0.01500000,false,1,true
2025-03-16 00:00:33.49423799 +0530 IST,613.97000000,0.01500000,true,1,true
2025-03-16 00:00:44.380383922 +0530 IST,613.96000000,0.04500000,true,1,true
2025-03-16 00:00:44.38441139 +0530 IST,613.96000000,0.60700000,true,1,true
